userName,content,score,thumbsUpCount,at
Arshaka Keenandra,ooy mengerikan 😅😅😅🧢🧢,5,0,2026-07-01 21:56:14
Kakcik new Rozi,digunakan,3,0,2026-07-01 21:54:14
7 IGA Putu Bali Suputra,iklannya sangat mengganggu,1,0,2026-07-01 21:52:59
dwi zahra romadoni,bagus,5,0,2026-07-01 21:52:08
Rahmad Ramadan,iklannya jangan paksa,1,0,2026-07-01 21:51:27
Heru aridiansyah,mantap sekali,5,0,2026-07-01 21:49:53
Yogo Nohh,tolonglah masa begitu masuk ke shopee langsung ke shopee video mana gabisa dipause tolong lah hapus aja fitur shopee video nya org mau belanja bukan nonton bikin ngeleg tau gaa,1,0,2026-07-01 21:49:18
Dede Hendri,memudahkan untuk belanja,5,0,2026-07-01 21:48:12
Faqih Muqqadam,sangat baik,5,0,2026-07-01 21:47:53
Sicknot Notsick666,ngentottr mau ganti nomor telpon aja gabisa susah belibet udah verivikasi ini itu tetep kaga bisaaa,1,0,2026-07-01 21:47:31
Luvv _,sangatt bagusss,5,0,2026-07-01 21:47:07
Agung Ramadhan,good Li-Ning😄,5,0,2026-07-01 21:46:23
fatimatul zahraa,"aplikasi iklan paling MAKSA!!! lgi bikin tugas ada aja iklan ni aplikasi mana banyak toko isinya penipuan lagi,iklan nya lebih 10 detik itu ganggu banget sumpah walaupun udh download pun sama aja iklan nya gk habis habis! promosi boleh tapi gk begitu banget lagian kn udh viral udh terkenal tpi iklan nya gk abis abis.habis selesai iklan nya mau lanjut tugas tiba ngeleg iklan lagi yg paling benci ini iklannya lama gpp kalo 3 detik ini lebih dari 10 detik dan bikin boring jelek aplikasi jelek👎👎",1,0,2026-07-01 21:44:44
Ferdi Kurniawan,aplikasi yang bagus buat belanja,5,0,2026-07-01 21:43:40
Ahmad Elbai,"untuk admin yth, harap paket untuk jasa kirimnya jangan pake yg lain. anteraja, ninja express, jne, dan id express, atau sicepat suka nyangkut gajelas jangan pake jasa itu min tolong",5,18,2026-07-01 21:43:19
Wal Di,selalu eror,1,0,2026-07-01 21:42:44
Yuzza Alya,"minus bngt di iklan, tiap mencet silang malah ke aplikasi nya 🙄 makutnya apa ?? klo kita lagi ngerjain sesuatu yang PENTING BANGET gmna ?? dah tau shope keluar nya susah, hadehhh kalo kerjaan nyaa ilang parah sii. kasian yang lagi ngerjain tugas di aplikasi (misal Canva) trus ada iklan shopee eh malah ke aplikasi nya, bisa jadi ilang dong kerjaannya 🤦 TOLONG IKLAN NYA BENERIN !",2,0,2026-07-01 21:42:21
Edi Hutasuhut,saya bisa terbantu,5,0,2026-07-01 21:41:42
Firboys RA,"shopee iklannya spam banget, sudah diinstal sejak lama tapi iklan aplikasinya maksa banget terus2an kebuka secara paksa disetiap aplikasi drama pendek, bikin jengkel dan ganggu banget",1,0,2026-07-01 21:41:30
Tarlim Dwiyan,okeh. enak untuk berbelanja,5,0,2026-07-01 21:41:13
hanisa,"iklan paling maksa, gw main game aja langsung ke apk shopee pdhl ga pencet apa"". tolong di perbaiki lagi, gw kesel bgt jangan sampe gw geber"" supra tetangga y",1,0,2026-07-01 21:41:06
M Afdal,ekspedisi terbesar diindonesia namun pengiriman dibanding JNT lebih gercep ketimbang shopee. semoga kedepan ada perubahan.,1,0,2026-07-01 21:41:01
Viona Sandra,plis lah iklan nya tu di kondisikan orang buka apk apa tiba tiba iklan shoppe yang muncul sampek muak liat nya buat emosi aja dehh,2,0,2026-07-01 21:38:43
