userName,content,score,thumbsUpCount,at
Zaki mubarok,"Tolong ya ,kenapa semua prafom di aplikasi itu kalau di chat mashi centang 1 dan entah itu di buka apa tidak di baca dan tolong berikan semua toko suruh semua aktifkan chat centang nya ,kenapa di chat selalu cuma centang 1 padahal online dan kita pembeli harus tau dong chat kita sampai apa di baca atau belum di baca gitu ,tolong lah admin semua toko di aplikasi suruh aktifin centang jangan cuma 1 aja suruh mereka semua yang jualan saat di chat centang nya 2 antara di baca atau tidak di balas git",1,0,2026-07-01 19:41:10
Lutfi Aira,iklannya maksa,1,0,2026-07-01 19:41:02
Bot Wkwk,tolol bet dah gua tunggu dari lama buat ngeretur barang tapi ga dijemput juga bego bet aning,5,0,2026-07-01 19:36:51
Netti Purnama Sari,tempat shopping the best . Enggak perlu capek-capek kepajak. Selalu langganan deh..,5,0,2026-07-01 19:36:20
Fauzi Sanjaya,kasih promo yg menarik lagi,5,0,2026-07-01 19:35:24
EGA PUTRAWAN,mantap,5,0,2026-07-01 19:33:44
Sitti Nur Anci,bagus,5,0,2026-07-01 19:32:39
Ilham Nurjaman,"lambat, gak sesuai waktu, cih",1,0,2026-07-01 19:30:15
Ayya Ayya,bagus sihh! tapi pernah beberapa beli barang zonk..,5,0,2026-07-01 19:29:49
Abus Tamar,sangat puas,5,0,2026-07-01 19:29:28
Rio Pamungkas,"saya muak dengan kelakuan sistem shoope yang suka Auto SPlater ketika melakukan transaksi pembayaran, padahal saldo SPpay maupun Seabank tersedia dan ada. kalau ingin orang ngutang caranya jangan menjebak. jika tidak diperbaiki, dan saya mendapati diarahkan kembali ke SPlater padahal saya ada saldo saya akan kirimkan 1 bintang lagi dengan akun baru. jangan memanfaatkan kelengahan orang dalam bertransaksi ketika crowded ketika buru buru mau melakukan pembayaran Qris. kalian baca ya. terimakasih",1,0,2026-07-01 19:29:17
Dedi Islamianto,"misi nonton video dpt koin,sippp...👍",5,0,2026-07-01 19:28:29
Siska Dwi Fitriana,Shoppe semakin mantap aja.. banyak promo menarik banyak chasback. banyak point,5,0,2026-07-01 19:28:11
Rizwan,bisa dipercaya 👍,5,0,2026-07-01 19:28:00
Neisya Ayu,n 👥👅 Bu🦿 BI xx,1,0,2026-07-01 19:27:32
Fauzi Pranata,"Pencarian produknya tidak relevan ketika sortir menjadi harga rendah, produk yang ditampilkan sangat jauh dari sortir terkait.",3,0,2026-07-01 19:27:11
Devan Erik,Aplikasi Shopee sangat bagus saya sangat suka,5,0,2026-07-01 19:26:26
Zahra Dewy,lag,1,0,2026-07-01 19:26:09
Siti Car,bgus,5,0,2026-07-01 19:25:31
Fatih,"lu bisa ga sih buat iklan jangan maksa menggangu banget, perbaiki iklan nya",1,0,2026-07-01 19:23:04
Orang Biasa,aplikasi andalan buat belanja🥳,5,0,2026-07-01 19:22:27
Key ikhsaan,banyak barang palsu,1,0,2026-07-01 19:21:24
Bunga Citra Lestari,"BISA GAK SIH IKLAN NYA GAK USAH MAKSA, GANGGU BANGET IKLAN NYA MAU NEKEN TOMBOL SILANG MALAH TIBA-TIBA KE SHOPEE MAKSA BANGET",1,0,2026-07-01 19:20:40
Germisyah Germisyah,mantap,5,0,2026-07-01 19:20:39
Afiyah Suhar,good,5,0,2026-07-01 19:20:34
I Wayan Sandya,menyenangkan belanja di shoope gampang cari segala keperluan,5,0,2026-07-01 19:18:00
Master Huamn,banyak iklan maksa,1,0,2026-07-01 19:17:37
Heng Ki,sangat nyaman belanja d shoppy,5,0,2026-07-01 19:17:28
Sri Wulandari,shoope lu rese bgt anj kalo iklan iklan aja gausah maksa bgt lu tuh tau diri dikit anj iklan lo maksa bgt lama lama ga uninstall lo y,1,0,2026-07-01 19:16:59
Mulia Sarifah Lubis,aplikasi belanja terpercaya,5,0,2026-07-01 19:15:09
Siti Juleha,Aplikasi sampah. KURIR SAMA CSNYA Ga di ajarin menyelesaikan masalah. paket retur dri 29Juni sampai 02 Juli ga di pick up pick up kan TOLOL. 5x Hubungi CS cuma janji aja ga ada solusi. SAMPAH,1,0,2026-07-01 19:14:47
Isti Ana,bagus pelayanan nya,5,0,2026-07-01 19:14:17
Novelita Pury,sangat berguna,5,0,2026-07-01 19:12:26
desma ananda,tolong ya iklan nya dikuranginnnn plisss saya lagi bikin tugas dokumen tapi ini iklan muncul terus dokumen saya sampai kehapus sndri mana saya harus mengulang kembali tolongla sewajarnya aja iklan nya sya bkin dokumen nya disebuah apk lain tapi ini iklan muncul trs disetiap aplikasi digame diloklok diwattpat tolong ya sangat menganggu banget ini tolong sarannya.,1,0,2026-07-01 19:12:11
enryo oktavian,"aplikasi perampok, ambil duit orang seenaknya",1,0,2026-07-01 19:11:43
Tias Puspita,"saya bangga dengan Shopee, banyak membantu kita, yang dulu kita belanja harus ke toko, naik kendaraan, antri di kasir.. klo sekarang berkat Shopee, kita tinggal pilih barang apa yang akan kita beli, di HP kita mencet aja produk produk yang ada di Shopee.. bahkan sayur, buah, semua kebutuhan yang biasanya kita belanja di pasar, sekarang tinggal pencet di Shopee, kita duduk dirumah, tinggal nunggu kurir antar barang ke tempat kita., Bersyukur ada Shopee... terima kasih Shopee kebanggaanku..",5,0,2026-07-01 19:11:40
Minawati Yahya,"Paling top deh, murah, mudah dan aman..apalagi shopee vip",5,0,2026-07-01 19:10:03
Thoyib 123,sekarang jadi ribet susah memasukan nomor TLPN,4,0,2026-07-01 19:09:39
Asep Mustofaa,"kalo pelepasan data ktp dari akun yang dibatasi dan saya bisa daftarin ktp nya di shopeepay atau paylater di akun baru saya kasih bintang lima, kalo ngga maaf saya hapus 🤚",5,0,2026-07-01 19:07:39
KOPERASI MERAH PUTIH,"hati hati penjual PENIPU diaplikasi shopee, pihak aplikasi shopee WAJIB memblokir penjual yang mengirim tidak sesuai pesanan, toko GAF_HELM mengirim barang tidak sesuai pesanan",1,0,2026-07-01 19:07:31
Muchamad mudrik,"apk babu... uninstal aja ,, shope gak guna nyusahin aj ini apk",1,0,2026-07-01 19:06:37
rie floryne,"iklannya kaga ngotak, dikit dikit di bawa ke apk pdhal ga mincet apapa😡😡",5,0,2026-07-01 19:04:58
Misyue,good,5,0,2026-07-01 19:04:16
Flaviana Okti,shopee garis keras ini 👍🏻👍🏻,5,0,2026-07-01 19:01:41
lani octavia,sangaatttt tidak dapt dipercaya saya mengalami kerugian oleh pihak gudang shopee dan shopee janji bertanggung jawab melalui voucher sudah di tunggu- tunggu beberapa hari tidak ada etiket baiknya. hati2 belanja disini,1,0,2026-07-01 19:01:35
cang kir,tmbh okee,5,0,2026-07-01 19:00:52
Stephane Natasha,lama pengiriman,1,0,2026-07-01 19:00:17
Aan Maryanto,puas,5,0,2026-07-01 18:58:29
Fajri,"saya kasih bintang 1 dulu, karna bener bener buruk,saya disini sebagai penjual di apk shope telah di rugikan beberapa kali barang saya di tukar dengan pembeli dia mengembalikan barang tidaj sesuai dengan yg saya kirim,kadang di kembaliin batu bata kaleng bekas,padahal jelas jelas saya mengirim barang tepat apa yg saya jual, sudah rugi juta jutaan gara gara di tipu pembeli, dan shope memihak terhadap pembeli astagfirullah saya tidak ikhlas lahir batin",1,0,2026-07-01 18:57:22
Alfianrizqieramadhan,"aplikasi gak guna, ganggu aja memk, redup aja lu shopee hama, udh maksa memk",1,0,2026-07-01 18:55:57
amel file,membantu,5,0,2026-07-01 18:54:16
Mulyati Mulyatimul,josssssss,5,0,2026-07-01 18:54:16
Sunarti Narti,Murah harganya ongkirnya gratis barangnya bagus.,5,0,2026-07-01 18:53:41
Syafa atun,Terlalu banyak iklan,1,0,2026-07-01 18:52:57
M. Aly Mufty,sangat bermanfaat untuk belanja apa saja,5,0,2026-07-01 18:52:39
Fitriani New,sangat puas menggunakan aplikasi Shopie pay ini,5,0,2026-07-01 18:52:09
Rahmat Adam,kurangi iklan nya ya min,1,0,2026-07-01 18:52:04
Bima Wicaksono,saat saya bermain game minecraft di hp selalu iklan shopee tolong gak usah ingklan di hp,1,0,2026-07-01 18:51:26
User Skm,apikasinya cocok buat yg pengen jajan atau bli barang yg dipengen,5,0,2026-07-01 18:49:27
Nardi Bakso,Belanja online joss,5,0,2026-07-01 18:49:07
NITA ESTU W,bagus,5,0,2026-07-01 18:48:59
RUMAH AYAM KOKOK,Makasih shopee barang ok sudah sampai sesuai dengan gambar dengan selamat sampai tempat tujuan dengan selamat,5,4,2026-07-01 18:48:11
hauria 14,ShoPpy dan Si Pinjam Mantul,5,0,2026-07-01 18:48:02
barizatul ritsani,"nggak ada angin Gx ada hujan tiba"" banget akun Shopee saya di blokir",1,0,2026-07-01 18:47:33
Farell Kurniawan,Tolong pengiriman nya di perbaiki. Bisa lebih cepat lagi. Masih kalah sama Tokopedia tiktok. Tokopedia terbaik no1,5,0,2026-07-01 18:47:16
Assyifa,"saya suka menggunakan shopee karena banyak voucher diskon dan gratis ongkir. tapi ada beberapa hal yang membuat saya kesal dengan shopee 1. iklan shopee itu maksa bangett, tanpa persetujuan pengguna itu namanya MAKSA. 2. kalau mencari toko di pencarian susah bgt muncul, kadang hanya muncul toko yg terkenal aja",3,0,2026-07-01 18:46:51
Kokek12,Shopee Terbaik,5,0,2026-07-01 18:45:32
Cut Man,"untuk jual beli barang sudah ok, tapi cuma sedikit kekurangan di apk ini.kenapa tombol untuk memberi penilaian produk yang sudah kita online tidak di tampilkan.itulah sedikit kekurangan.Malah membingungkan pengguna.",3,0,2026-07-01 18:43:54
Iwan Riswandi,mantapndalam pelayanan,5,0,2026-07-01 18:43:35
Duwisari Duwisari,kenapa setelah update shopee harga nya jadi naik semua? padahal sebelum update hrga nya murah ini kenapa yahh???,2,0,2026-07-01 18:42:52
All ExE,"gak jelas kontoll, dari tgl 23 gw cek estimasi kata nya datang tgl 26 eh di undur 28 sampai ganti bulan tgl 1 masih blm di kirim pepek",1,0,2026-07-01 18:40:17
June Muara Siregar,ok bangat,5,0,2026-07-01 18:40:16
Meli Melinda,"bagus, tapi kalo iklan di apk lain suka masuk sendiri please ganggu bgttt!😭🙄",5,0,2026-07-01 18:40:13
Juma Wan,pengeriman gagal mulu mana gak dikasih diskoun,1,0,2026-07-01 18:39:37
mhdhh,"tolong iklan kalian meresahkan banget gila, udah spam mulu terus suka bikin tanda close palsu lagi, pliss deh kondisikan iklan kalian, setiap ada iklan shoppe pasti langsung keluar apk",1,0,2026-07-01 18:37:00
Ekis Samori,lancar dan memudahkan berbelanja COD di Indonesia,5,0,2026-07-01 18:34:44
Sudarman Man,sangat memuaskan,5,0,2026-07-01 18:34:19
Wahyu jatmiko,sejauh ini selalu ok,5,0,2026-07-01 18:32:44
shafa intani,pengaturan mau nyalin video aja nggak boleh dasar shopee gimana sih,1,0,2026-07-01 18:28:54
Adhicahyono Budhi P,aplikasi belanja terpercaya,5,0,2026-07-01 18:28:45
May Wulandari,saya suka dgn shopee apalagi klo harganya murah dan berkualitas bagus waaah tambah oke bgt tuu,4,0,2026-07-01 18:23:33
Zainiyya Sofi,"bagus sih apk nya banyak voucher juga,tapi yang ak gasuka iklan nya yang terlaluu maksa",4,0,2026-07-01 18:23:21
Syarif Syarifuddin,Syukur Alhamdulillah terimakasih banyak atas kerjasama nya mudah2an BERKAH Sophie SANGAT Membantu Masyarakat berbelanjah Lebih Mudah Wsslm,5,0,2026-07-01 18:23:10
Fian Pian,lain kali kalau cari kurir itu jangan yang tolol,1,0,2026-07-01 18:21:10
Pendi Explorer,memuaskan,5,0,2026-07-01 18:19:15
Tava D'Lion,ok sudah baik,5,0,2026-07-01 18:17:57
Arie Ashari,semoga dapat membantu kebutuhan saya,5,0,2026-07-01 18:15:01
Joana Zamaica Suripro,kecewa beli barang mic BM 800 yg Dateng mic kimico,5,0,2026-07-01 18:14:58
Raisa Safitri,gak bisa ke buku semua gambar benda nyaa saya mau mesen barang aja ga bisaa tolongg di perbaiki duluu itu,4,0,2026-07-01 18:14:29
Ilham Suka ngaji,"iklannya tolong di kondisikan, masa lagi ngerjain tugas tiba tiba masuk ke shopee, iklanmu terlalu memaksa, padahal kalo butuh pasti bakal buka aplikasi nya",1,0,2026-07-01 18:14:27
Muhammad Alvin,klo kasih tombol enter di iklan yang besar dong masa udah pencet enter malah masuk ke aplikasi😠,1,0,2026-07-01 18:13:55
Pahmi Hilmansyah,"udah mulai percaya lagi belanja e comerce ini tapi sayangnye sekarang kepercayaan itu kembali menghilang, banyak toko yg sudah tidak aktif tapi promo produk masih betebaran, harga yg di cantumkan dengan harga saat mau check out berbeda jauh!!! blum lagi pengiriman paling cepat 5hr baru sampe bahkan pernah sampe 2 minggu, sampe2 gua lupa sma pesenan itu",1,2,2026-07-01 18:13:37
Shya Putri,shopeee baik bagus tapi masalah nya gak bisa cod di bawah 50 pdhl gk prnh retur barang,5,0,2026-07-01 18:13:11
Emi mona,terbaik,5,0,2026-07-01 18:12:22
Dewi Dewi,selalu puas barang yg sudah saya beli,5,0,2026-07-01 18:09:21
Raffi Nur,"menggangu iklannya saya ga suka ,jadi setiap apa apa pergi ke play store buang buang waktu aja",1,0,2026-07-01 18:09:11
Rahmat,Semoga ada free ongkirnya,5,0,2026-07-01 18:08:32
Enal Saja,sangat membantu,5,0,2026-07-01 18:08:23
Shofi Marwa,"So membantu,, tp sistemnya masih banyak yg merugikan masyarakat seperti: paylater, shopeVIP, shope tanam bayar pakai koin, dan bbrp game yg mengandung unsur judinya",1,0,2026-07-01 18:07:20
Supri Anto,mantap,5,0,2026-07-01 18:07:06
Azzura Humaira,"iklannya mengganggu sekali, maksa",1,0,2026-07-01 18:07:03
mom distin dean,"oke belanja shopee, yg penting pembeli harus hati2 liat barang yg mau di beli. rajin Baca review orang biar gak nyesal nanti",5,0,2026-07-01 18:06:48
Arnoldus Yanson,sangat bagus Pagai shopee banyak keuntungan buat kita,5,0,2026-07-01 18:05:51
Tri Wulandari,sangat membantu,5,0,2026-07-01 18:05:23
yolita Octariany marandhika,barang'a semua datang tepat waktu kurir bagus untuk pengantaran,5,0,2026-07-01 18:04:49
CACA CACA12,"bagus si untuk pesen makan aja, dulu suka banget waktu 2024,tpi skrg.... , kalo beli di shoope selalu lama, kadang penjualnya ga ramah juga, beli barang selalu dateng yg rusak, sangat disayang kan apk bagus sprti ini, malah menerima penjual yg sedeng😀",3,0,2026-07-01 18:02:36
Olivia Karolina,keren banget,5,0,2026-07-01 18:02:12
Wahyu Bahtiar,bagu dan cepat,5,0,2026-07-01 18:01:22
H. Syar'ie Juni,Mantap,5,0,2026-07-01 18:00:01
baraya jabar chanel,puas dgn apk ini... sip poko y,5,0,2026-07-01 17:59:32
Satrio Bagus Lananto,pokoknya mantap,5,0,2026-07-01 17:59:29
Rahima Trk,aku suka belanja di aplikasi ini murah kadang gratis ongkir. dan blm pernah mengecewakan saya,5,0,2026-07-01 17:58:09
Zivaw Aaw,buruk masa paket bisa nyasar trus tiba² di keterangan katanay pembeli menolak pdhl ga pernah sampe ke saya,1,0,2026-07-01 17:57:30
Aulia Aulia,IKLANN TERLALU MAKSA DI APLIKASI LAINN BIKIN GEDEG JIJIKK,1,0,2026-07-01 17:56:48
Novita Saptorini,sangat bermanfaat dan banyak voucher discount nya,5,0,2026-07-01 17:56:38
Rizka Salsabila,"apk perusak mood, enak enak nonton film ada iklan shope malah kebuka apknya, maksa bgt bikin hp lag, film gua juga jdi hilang",1,0,2026-07-01 17:54:48
Riyan Riyan,saya kecewa berat pengiriman spx lelet ga mau nganterin apalagi yg pake mobil pas saya mau refun kembalikan dana saya lewat shopee. nunggu nya lama udah di ajukan masih ga di setujui oleh sopi parah ni shopee sekarang,2,0,2026-07-01 17:54:17
Elvera Astra,"sakit hati banget sama shope, awalnya tagihan paylater saya 235ribu, tapi berhubung ada 1 barang yg saya kembalikan seharga 105ribu jadi pengembalian dana otomatis masuk ke limit paylater, seharusnya tagihan saya menjadi 130ribu tetapi tagihan di paylater tidak berubah tetap 235ribu. terpaksa saya tetap bayar barang yg sudah saya kembalikan . habis ini kapok pake paylater lagi, gak ada solusi untuk mengembalikan uang saya.",1,0,2026-07-01 17:53:31
Khaylila.21 Khaylila. 21,"bagus apl nya, kalo baru download Shopee dapat diskon yang ga masuk akal misalnya perfume yang harga nya 35 bisa jadi 5 ribu atau bahkan 0 rupiah, apl ini whort ith sih daripada apl belanja yang warna biru sama ijo , gak nyesel download ini....... MB nya juga ga gede banget jadi ga menuhin ruang......",5,0,2026-07-01 17:53:10
Ajun Saepulloh,bagus pengiriman barang cepat dan aman😋,5,0,2026-07-01 17:53:04
Cotton Candid,iklan lo ganggu BANGET,5,0,2026-07-01 17:52:22
Melati Melati,Belanja di shopee belanja praktis tidak repot pilih yang mana suka lansung cek out terimakasih shopee..,5,0,2026-07-01 17:51:43
F aLDi,"kak soal VIP soppe saya keberatan banget tiba tiba ada tagihan jatuh tempo sedangkan saya gak pernah belanja apapun, beginilah soppe sekarang?? mending pindah aja guys apa apa an kaya gini, PEMERASAN!!",1,0,2026-07-01 17:51:35
Muhammad Syafii Masmuddin,baik,5,0,2026-07-01 17:51:21
azhar ridwan,Pembeli Review Jujur barang yang dibeli tapi komentarnya ditutupin oleh admin shopeee....hebat sekali shoppe kaya disabotase komentar pembeli,1,0,2026-07-01 17:50:51
SAEP AHOUY official,terbantu banget.,5,0,2026-07-01 17:50:50
Fatimah Siti,trimakasih bayak berkat ada shoppe trbantu sx bisa belanja,5,0,2026-07-01 17:48:08
Syaiful Ipul,selama ini setiap belanja di th 2026 tidak ada gendala namun di expedisi perlu ditingkatkan lagi....tks,5,0,2026-07-01 17:47:47
Arif Wahyudi,sangat mudah digunakan,5,0,2026-07-01 17:45:07
Dewi Aminah,banyak penipunya bikin kecewa,1,0,2026-07-01 17:44:40
Agung Prasetyo,pelayanan buruk. saldo shopeepay saya tertahan ga bisa di ambil pengurusan berputar putar seperti aplikasi sampah.... sudah seminggu lebih ga ada penyelesaian saldo shopeepay saya benar benar pelayanan sampah,1,0,2026-07-01 17:44:00
Alisha Khaira,"aplikasi udah baik,tapi iklannya tolong di perbaiki",2,0,2026-07-01 17:42:03
Firdaus Mukmin,iklan sangat mengganggu!!!!!,1,0,2026-07-01 17:41:33
Robik Atul,suda baik,5,0,2026-07-01 17:41:28
Anton Hendrawan,kenapa setiap tekan tombol enter keluar iklan nike. dan hanya shopee yg seperti ini,1,8,2026-07-01 17:40:06
Even Mau,om mantap,5,0,2026-07-01 17:38:58
Akun new,Puas dan tingkatkan kualitas nya,5,0,2026-07-01 17:38:46
Raissa Dewi,"Harga waktu dicek it out berbeda, lebih mahal",1,0,2026-07-01 17:38:36
Fuad Fanani,sangat memusakan,5,0,2026-07-01 17:38:17
NORHIKMAH,bagus,5,0,2026-07-01 17:38:09
dimas bayu,easy use,5,0,2026-07-01 17:37:04
Moza 01,terlalu banyak update,2,0,2026-07-01 17:35:57
Santi Putriwajo,"mantap barangnya, kurirnya jg ramah",5,0,2026-07-01 17:34:38
taa dech,ga ada bahlil,1,0,2026-07-01 17:32:28
Fadly Manan,bagus,5,0,2026-07-01 17:32:22
Putra Bungsu,"untuk semua nya udh bagus tapi beberapa hari ini apk nya kok agak nge bug gitu sih,habis pesanan sampe itu di aplikasi nya gak ada ada tulisan pesenan selesai kan biasa di teken tuh ini gak ada jadi pesanan saya itu masih ada di kirim gak menghilang.. biasa nya kan ada tuh kalo udh sampe ada tulisan pesanan selesai habis itu aku teken habis itu aku beri penilaian,kalo sekarang udh gak ada tuh,tolong benerin dong developer 🙏🙏...",4,0,2026-07-01 17:32:01
Lia Yulia,semakin di update semakin lelet gk tau knpa jdi gk bisa di buka klog di masalah jaringan buka app lain aman tanpa macet tiba buka shoopee malah muter truss 🤦🏼‍♀️,3,0,2026-07-01 17:31:55
Fery Irawan,sangat bagus untuk shopee kualitas barang tidak ada yang zonk amanah selalu,5,0,2026-07-01 17:31:32
Uci Doank Uci,Alhamdulillah sejauh ini lancar lancar aja... cuma dari pihak ekspedisi nya aja kadang ga jelas,5,0,2026-07-01 17:30:41
ahmad rifani,Bagus,5,0,2026-07-01 17:30:36
Nugi Nugi,shopee memang best,5,0,2026-07-01 17:30:29
Khusus Radit,"apk tolol banyak iklan, nyusain orang mau bikin tugas",1,0,2026-07-01 17:29:52
cece,"iklannya kebanyakan, ngelag lagi pas di dalam appnya, jadinya ak pindah tt shop",1,0,2026-07-01 17:28:52
Kaila haerunisa,iklannya ga usah maksa!! tiap mau close malah ke aplikasinya ngeganggu banget.,3,0,2026-07-01 17:27:53
William,Good,5,0,2026-07-01 17:27:46
hany maspupah,"pengembalian barang/dana dipersulit,akhirnya saya kalah dan barang tidak balik. pesan minyak 1 karton yang datang cuma 5",1,0,2026-07-01 17:27:38
ecu bjms,siiiiip,5,0,2026-07-01 17:27:18
Haris Ramdani,Cukup lumayan,5,0,2026-07-01 17:26:44
Akhwan Maulana,"APLIKASI SAMPAH, IKLAN DI MANA² KAGA BISA DI PENCET, LAGI BUAT TUGAS SEKOLAH EH MUNCUL IKLAN SHOPE ANJJ JADI TUGAS ILANG SEMUA BGST, TRS PENGIRIMAN TELAT BARANG TIDAK SESUAI",1,0,2026-07-01 17:26:35
Cantika Comel,"aplikasi belanja kesukaan ku aku paling suka pas tanggal kembar banyak diskon, voucher, gratis ongkir",5,0,2026-07-01 17:25:29
Suchi Arrohim,dalam ini saya menyatakan bahwa Nokia membatalkan rilis di tahun ini dengan cara yang paling banyak dicari oleh shope juguk mengajar di sekolah dan ini goddess,5,0,2026-07-01 17:23:28
Kiki Okt,suka sekaliii,5,0,2026-07-01 17:22:51
Wulan Wulan,Terimah kasih,5,0,2026-07-01 17:22:00
Nayra Lutfia Azzahra,"iklan kalian maksa banget. sering muncul , benci gasuka. musnah aja lo",1,0,2026-07-01 17:18:54
Aris Aritonang,harus hp spec tinggi😩,3,0,2026-07-01 17:18:26
Ade Soleh,apk ini sangat bagus setiap balanja yg sangat penting lsg blanja online pertahankan shoope,5,0,2026-07-01 17:18:16
Surya,"CS shopee sangat membantu sekali dlm hal masalah yg terjadi pada toko saya ,terima kasih banyak shopee atas kerjasamanya 🥰🥰",5,0,2026-07-01 17:17:05
Universal Video,"aku kasih bintang 1 karena masalah di waktu pengiriman. biasanya diberi waktu 2-3 hari, ini ga ada 1x24 jam waktunya buat seller",1,0,2026-07-01 17:14:57
Boy Dhoom,abyan,5,0,2026-07-01 17:14:31
Gustina Tina,sangat membantu buat belanja jdi gampang,5,0,2026-07-01 17:14:21
Mardiana Nuraini,"JELEK, IKLANNYA ADA TOMBOL X PALSU",1,0,2026-07-01 17:13:31
Nurhayani Pasaribu,"selama saya menggunakan shopee, rasanya lebih mudah belanja tanpa harus ke luar rumah",5,0,2026-07-01 17:12:05
Dira Athifa Husna,"Dimohon untuk mengurangi iklan, karena banyak dari sebagian iklan shopee dianggap sebagai memaksa, mengganggu ketidaknyamanan, dll.",3,0,2026-07-01 17:11:55
Subakti Anang,"harga memang bersaing tapi membuat titik lokasi itu yang sukar karena tidak ada nama sekolah, kelurahan, makam dll jadi sukar membuat titik lokasi yang tepat atau setidaknya melenceng sedikit ini keterlaluan melenceng sampai -+1 km benahi min",5,0,2026-07-01 17:11:26
Alfath Berlian,minimal kalo buat iklan tu yang pendek aja Jangan panjang² rekamannya,1,0,2026-07-01 17:11:04
Iqmaxxer,"shopee ini aplikasi paling mmuaskan buat blanja lebih murah bnyk diskon, selalu gratis ongkir, cuma tolong aj barang yg tidak bisa cod,jgn dipasang bisa cod, dan bnyk penjual selalu gak respon mengandalkan ai, ai nya pun tidak memuaskn sekali, yg paling kesel barang klo udh dipesan selalu lama dipacking, kurir yg membawa pket kyk pura pura gk tau 2 hari baru dikirim ke gudang....(°ﾛ°٥)",3,0,2026-07-01 17:08:33
sigit purnomo,bagus,5,0,2026-07-01 17:06:21
Hanifa Puspita,oke,5,0,2026-07-01 17:06:02
AZIZ MZ,tolong kalo ada iklan nya tombol silang nya di besarin sedikit,1,0,2026-07-01 17:04:53
Abangtattok 701,mantap,5,0,2026-07-01 17:04:20
Sakha Tolik,apk shopi sangat bagus buat beli beli barang online,5,0,2026-07-01 17:03:34
Gayuh,"hp ibu saya setiap pencet aplikasi,malah ke iklan shoope,suruh dan maksa untuk beli ini,buat apa coba,tuh iklan Meding di hapus,dan Alhamdulillah nya udah ga kaya dulu lagi",1,0,2026-07-01 17:02:58
Mila Valen,bisa membeli barang tanpa keluar rumah,5,0,2026-07-01 17:02:32
SuciiWulan Suciiwulanyy67,aplikasi belanja online paling gampang dan selalu banyak dapet promo dan gratis ongkir,5,0,2026-07-01 17:01:34
Official Gamingズキタカ,"update pengiriman barang stuck terus di satu wilayah di peta,makin crush",1,0,2026-07-01 17:00:47
fero arnanta,iklan gk ngotak gak mencet iklan nya tiba tiba malah masuk website/app nya,1,0,2026-07-01 17:00:33
Agus Muhaimin,servis baik perlu. peningkatan responsibitasnya.,4,0,2026-07-01 16:59:53
ristiyono. tpi2,"aplikasi kebanyakan dosa, berat sekali",1,0,2026-07-01 16:59:37
baba yaga,bagus dan cepat pengiriman nya,5,0,2026-07-01 16:58:32
Deni _,kurang akurat,5,0,2026-07-01 16:57:37
nickgua erwandi,error f00 ga beres2 udah 1 tahun gila kan?...malah di suruh unistal dan instal...udah 20x lebih malah...di lapor malah gitu Mulu...,1,0,2026-07-01 16:57:36
Fatha,video preview produk sering berbeda dengan produk asli nya dan dapat membingungkan dan menggangu pengalaman berbelanja di shopee tolong di atur regulasi agar tidak membingungkan pengguna,1,1,2026-07-01 16:57:30
Dini Annisa,"PLISS YA APK LO ITU UDAH TERKENAL,BANYAK YG DOWNLOAD JADI PLISSS JANGAN PASANG IKLAN DIMANA MANA BIKIN MUAK APALAGI PAS MAIN GAME",1,0,2026-07-01 16:57:11
Faisal Mubarok,jelek gua pesen paket udh ditungguin dari pagi padahal mau datang ternyata cuma notif doang mana truk yg di maps gak jalan jalan,1,0,2026-07-01 16:56:43
Depan Belakang,enak kalau mesen apa² di shopee harga murah lagii,5,0,2026-07-01 16:56:07
Rama Sunmi,nicee.. love shopee,5,0,2026-07-01 16:54:02
Hana Audina,udah lama pakek shopee lancar aplikasinya bagus,5,0,2026-07-01 16:53:56
Guteres,kerenn,5,0,2026-07-01 16:53:02
Patta Padly,mudah mencari yang diinginkan,5,0,2026-07-01 16:52:57
Mega Kang,ini kenapa ya apk Shopee saya . paket saya udah saya terima tpi dri apk saya tidak ada pilihan pesanan selesai hanya ada ajukan pengembalian. saya udah perbarui tapi tetap tidak muncul setiap paket saya udah sampe ke saya. saya tidak enak ke toko penjualan karna lama ngasih pesanan selasai.,3,0,2026-07-01 16:51:02
Ahfad Fadil,tambah lemot ajg pengiriman,1,0,2026-07-01 16:48:45
Achmad Firdaus,terbaik pokoknya,5,0,2026-07-01 16:48:24
Aldi Aldy,kenapa yah akun shopee saya tidak bisa cod,5,0,2026-07-01 16:45:23
PARKIT TV CHANNEL,oke juga,5,0,2026-07-01 16:44:12
Ahsanul karim,tidak bisa pinjam di Apk Si pinjam,1,0,2026-07-01 16:43:29
Faris Aqiilah,mudah2an bagus terus,5,0,2026-07-01 16:41:55
Cak beken,sangat membantu,5,0,2026-07-01 16:40:11
Nabila Nabila,sangat membantu saya untuk keuangan,5,0,2026-07-01 16:38:19
Zee,"hilangkan chat AI, tidak efisien bikin ribet",4,0,2026-07-01 16:38:08
Njam Nurdin,mantaf gan sangat membantu aga hemat blanja hhe,5,0,2026-07-01 16:37:36
Alaqil 001,buruk,1,0,2026-07-01 16:37:27
Tonny Chandra,seneng belanja di shopee barang sll sesuai sama di aplikasi gud sll shopee,5,0,2026-07-01 16:37:22
Alexsius Oktavianus,sangat bagus,5,0,2026-07-01 16:36:17
Virra Adelia,tai ni apk,1,0,2026-07-01 16:35:26
Mill Milly,fckass singapore,1,1,2026-07-01 16:34:18
